"Month","M01AB_Mean","M01AB_SD","M01AE_Mean","M01AE_SD","N02BA_Mean","N02BA_SD","N02BE_Mean","N02BE_SD","N05B_Mean","N05B_SD","N05C_Mean","N05C_SD","R03_Mean","R03_SD","R06_Mean","R06_SD"
1,124.538333333333,64.7631010426977,114.939666666667,71.3419873305102,111.075,61.5095744579655,1032.25516666667,581.709112355107,265.033333333333,154.478499043286,22,16.7212439728628,178.041666666667,127.28044003957,39.5833333333333,20.171208854867
2,137.436666666667,19.5612736463316,127.632333333333,13.6731967098652,127.48,27.9590736613358,993.825,261.566355679778,248.4,64.9984615202545,15.1666666666667,8.93121865518176,195.166666666667,60.6742669231913,46.7266666666667,14.6659151322605
3,152.275,9.02850541341146,123.143666666667,30.4195240637763,123.809166666667,25.2320253679063,927.916333333333,200.541930654581,256.233333333333,76.0037279787424,19.3333333333333,11.8434229286413,204.166666666667,66.6405782287839,98.7233333333333,38.3785261137875
4,153.538333333333,20.7105667876731,107.703166666667,19.9088073215516,112.316666666667,25.2480824354379,776.815666666667,177.80190801301,239.9,73.4061305341727,15.5,6.89202437604511,184.5,69.9077964178531,141.116666666667,46.4175577412973
5,150.231666666667,25.3059664242776,113.136,10.1101651420736,115.19,20.0422054674629,714.663333333334,156.602628446226,235.3,52.1518935418456,18.8333333333333,6.30608172058265,163.333333333333,84.2322186972816,155.091666666667,31.9983664687225
6,141.443333333333,21.1451381330713,107.036666666667,8.44044898489804,115.951666666667,19.7382374255319,624.251,107.19613398999,242.5,64.223827354028,17.6666666666667,6.53197264742181,130.5,47.7063937014736,133.106666666667,18.1856720158114
7,164.581666666667,29.774041994104,117.0225,17.2869432896623,107.983333333333,26.0517497812847,610.265,98.9662430104326,257.266666666667,52.242766644452,14.8333333333333,6.431692364119,91.6666666666667,25.827633779862,104.121666666667,24.21284817337
8,169.945,28.6702966500175,112.355333333333,18.8810541937326,107.791666666667,24.5686470255622,654.821,117.680791926295,281.666666666667,69.3870785281141,19,7.26636084983398,96.1666666666667,51.5612903898522,83.3833333333333,16.0414982675144
9,150.146666666667,23.4960998181968,119.095666666667,9.50994096020927,102.891666666667,15.428623291359,960.856,110.947463021017,277.216666666667,66.9904595197455,15.6666666666667,4.41210456207315,138.666666666667,40.1081870279207,77.2,18.3407742475611
10,144.006666666667,54.0284120316956,118.3275,50.36543300618,115.841666666667,62.4619197324791,1276.2,554.042036798653,267.5,127.212813819992,16,9.46572765295939,203.833333333333,103.032842660322,57.7383333333333,24.8163497853062
11,160.436,15.2312451887559,114.242,11.0560745520279,125.81,21.0331108017811,985.452,208.424521950993,281.44,118.371736491445,20.2,4.54972526643093,192.8,74.744230546578,47.08,2.82701255745354
12,153.68,14.3883303409395,124.487,8.75923681036194,116.0848,20.6820237210965,1223.8948,250.980766788414,303,107.768269912809,20.8,9.14877040918614,251.4,84.5830952377601,42.046,8.27121998256605
